Absorption and Emission cross sections are only a function of host glass composition,,
Yb-doped Germanosilicate Fiber Cross-sections,,
From R. Paschotta (www.rp-photonics.com),,
,,
Yb absorption and emission Cross-Sections for germanosilicate fibers,,
m,m^2,m^2
wavelength,absorption,emission
1.0385E-06,3.3186E-26,5.3411E-25
1.0390E-06,3.3186E-26,5.2842E-25
1.0395E-06,3.3186E-26,5.2273E-25
1.0400E-06,3.2573E-26,5.1704E-25
1.0405E-06,3.1698E-26,5.1134E-25
1.0410E-06,3.0822E-26,5.0565E-25
1.0415E-06,2.9946E-26,4.9996E-25
1.0420E-06,2.9071E-26,4.9310E-25
1.0425E-06,2.8195E-26,4.8551E-25
1.0430E-06,2.7320E-26,4.7462E-25
1.0435E-06,2.6444E-26,4.6591E-25
1.0440E-06,2.5568E-26,4.5832E-25
1.0445E-06,2.4693E-26,4.5254E-25
1.0450E-06,2.3817E-26,4.4685E-25
1.0455E-06,2.2942E-26,4.4116E-25
1.0460E-06,2.2066E-26,4.3546E-25
1.0465E-06,2.1190E-26,4.2977E-25
1.0470E-06,2.0315E-26,4.2408E-25
1.0475E-06,1.9912E-26,4.1839E-25
1.0480E-06,1.9912E-26,4.1451E-25
1.0485E-06,1.9912E-26,4.1072E-25
1.0490E-06,1.9912E-26,4.0692E-25
1.0495E-06,1.9912E-26,4.0313E-25
1.0500E-06,1.9912E-26,3.9934E-25
1.0505E-06,1.9912E-26,3.9554E-25
1.0510E-06,1.9912E-26,3.9175E-25
1.0515E-06,1.9912E-26,3.8613E-25
1.0520E-06,1.9912E-26,3.8044E-25
1.0525E-06,1.9912E-26,3.7475E-25
1.0530E-06,1.9912E-26,3.6906E-25
1.0535E-06,1.9912E-26,3.6421E-25
1.0540E-06,1.9912E-26,3.6136E-25
1.0545E-06,1.9912E-26,3.5851E-25
1.0550E-06,1.9912E-26,3.5567E-25
1.0555E-06,1.9912E-26,3.5282E-25
1.0560E-06,1.9912E-26,3.5034E-25
1.0565E-06,1.9912E-26,3.4806E-25
1.0570E-06,1.9912E-26,3.4578E-25
1.0575E-06,1.9912E-26,3.4351E-25
1.0580E-06,1.9912E-26,3.4123E-25
1.0585E-06,1.9912E-26,3.3895E-25
1.0590E-06,1.9666E-26,3.3622E-25
1.0595E-06,1.8528E-26,3.3338E-25
1.0600E-06,1.7389E-26,3.3053E-25
1.0605E-06,1.6251E-26,3.2769E-25
1.0610E-06,1.5113E-26,3.2497E-25
1.0615E-06,1.3975E-26,3.2307E-25
1.0620E-06,1.2836E-26,3.2117E-25
1.0625E-06,1.1698E-26,3.1928E-25
1.0630E-06,1.0560E-26,3.1738E-25
1.0635E-06,9.4215E-27,3.1548E-25
1.0640E-06,8.2832E-27,3.1358E-25
1.0645E-06,7.1449E-27,3.1172E-25
1.0650E-06,6.6372E-27,3.1010E-25
1.0655E-06,6.6372E-27,3.0847E-25
1.0660E-06,6.6372E-27,3.0685E-25
1.0665E-06,6.6372E-27,3.0522E-25
1.0670E-06,6.6372E-27,3.0359E-25
1.0675E-06,6.6372E-27,3.0197E-25
1.0680E-06,6.6372E-27,3.0034E-25
1.0685E-06,6.6372E-27,2.9872E-25
1.0690E-06,6.6372E-27,2.9646E-25
1.0695E-06,6.6372E-27,2.9418E-25
1.0700E-06,6.6372E-27,2.9190E-25
1.0705E-06,6.6372E-27,2.8963E-25
1.0710E-06,6.6372E-27,2.8735E-25
1.0715E-06,6.6372E-27,2.8513E-25
1.0720E-06,6.6372E-27,2.8323E-25
1.0725E-06,6.6372E-27,2.8133E-25
1.0730E-06,6.6372E-27,2.7944E-25
1.0735E-06,6.6372E-27,2.7754E-25
1.0740E-06,6.6372E-27,2.7564E-25
1.0745E-06,6.6372E-27,2.7374E-25
1.0750E-06,6.6372E-27,2.7189E-25
1.0755E-06,6.6372E-27,2.7026E-25
1.0760E-06,6.6372E-27,2.6863E-25
1.0765E-06,6.6372E-27,2.6701E-25
1.0770E-06,6.6372E-27,2.6538E-25
1.0775E-06,6.6372E-27,2.6376E-25
1.0780E-06,6.6372E-27,2.6213E-25
1.0785E-06,6.6372E-27,2.6050E-25
1.0790E-06,6.6372E-27,2.5888E-25
1.0795E-06,6.6372E-27,2.5605E-25
1.0800E-06,6.6372E-27,2.5321E-25
1.0805E-06,6.6372E-27,2.5036E-25
1.0810E-06,6.6372E-27,2.4752E-25
1.0815E-06,6.6372E-27,2.4467E-25
1.0820E-06,6.6372E-27,2.4183E-25
1.0825E-06,6.6372E-27,2.3898E-25
1.0830E-06,6.6372E-27,2.3613E-25
1.0835E-06,6.6372E-27,2.3329E-25
1.0840E-06,6.6372E-27,2.3124E-25
