Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
8.4380E-07,1.8900E-26,0.0000E+00
8.4400E-07,1.8900E-26,0.0000E+00
8.4420E-07,1.9200E-26,0.0000E+00
8.4440E-07,1.9500E-26,0.0000E+00
8.4460E-07,1.9500E-26,0.0000E+00
8.4480E-07,1.9800E-26,0.0000E+00
8.4500E-07,2.0100E-26,0.0000E+00
8.4520E-07,2.0400E-26,0.0000E+00
8.4540E-07,2.0400E-26,0.0000E+00
8.4560E-07,2.0600E-26,0.0000E+00
8.4580E-07,2.0900E-26,0.0000E+00
8.4600E-07,2.0900E-26,0.0000E+00
8.4620E-07,2.1200E-26,0.0000E+00
8.4640E-07,2.1500E-26,0.0000E+00
8.4660E-07,2.1800E-26,0.0000E+00
8.4680E-07,2.2100E-26,0.0000E+00
8.4700E-07,2.2100E-26,0.0000E+00
8.4720E-07,2.2400E-26,0.0000E+00
8.4740E-07,2.2700E-26,0.0000E+00
8.4760E-07,2.3000E-26,0.0000E+00
8.4780E-07,2.3300E-26,0.0000E+00
8.4800E-07,2.3600E-26,0.0000E+00
8.4820E-07,2.3800E-26,0.0000E+00
8.4840E-07,2.3800E-26,0.0000E+00
8.4860E-07,2.4100E-26,0.0000E+00
8.4880E-07,2.4400E-26,0.0000E+00
8.4900E-07,2.4700E-26,0.0000E+00
8.4920E-07,2.5000E-26,0.0000E+00
8.4940E-07,2.5300E-26,0.0000E+00
8.4960E-07,2.5600E-26,0.0000E+00
8.4980E-07,2.5900E-26,0.0000E+00
8.5000E-07,2.6500E-26,0.0000E+00
8.5020E-07,2.6500E-26,0.0000E+00
8.5040E-07,2.7000E-26,0.0000E+00
8.5060E-07,2.7300E-26,0.0000E+00
8.5080E-07,2.7600E-26,0.0000E+00
8.5100E-07,2.7900E-26,0.0000E+00
8.5120E-07,2.7900E-26,0.0000E+00
8.5140E-07,2.8500E-26,0.0000E+00
8.5160E-07,2.8800E-26,0.0000E+00
8.5180E-07,2.9100E-26,0.0000E+00
8.5200E-07,2.9700E-26,0.0000E+00
8.5220E-07,3.0000E-26,0.0000E+00
8.5240E-07,3.0200E-26,0.0000E+00
8.5260E-07,3.0500E-26,0.0000E+00
8.5280E-07,3.1100E-26,0.0000E+00
8.5300E-07,3.1400E-26,0.0000E+00
8.5320E-07,3.1700E-26,0.0000E+00
8.5340E-07,3.2300E-26,0.0000E+00
8.5360E-07,3.2600E-26,0.0000E+00
8.5380E-07,3.2900E-26,0.0000E+00
8.5400E-07,3.3400E-26,0.0000E+00
8.5420E-07,3.3700E-26,0.0000E+00
8.5440E-07,3.4000E-26,0.0000E+00
8.5460E-07,3.4600E-26,0.0000E+00
8.5480E-07,3.4900E-26,0.0000E+00
8.5500E-07,3.5500E-26,0.0000E+00
8.5520E-07,3.6100E-26,0.0000E+00
8.5540E-07,3.6400E-26,0.0000E+00
8.5560E-07,3.6900E-26,0.0000E+00
8.5580E-07,3.7200E-26,0.0000E+00
8.5600E-07,3.7800E-26,0.0000E+00
8.5620E-07,3.8400E-26,0.0000E+00
8.5640E-07,3.8700E-26,0.0000E+00
8.5660E-07,3.9300E-26,0.0000E+00
8.5680E-07,3.9600E-26,0.0000E+00
8.5700E-07,4.0100E-26,0.0000E+00
8.5720E-07,4.0700E-26,0.0000E+00
8.5740E-07,4.1300E-26,0.0000E+00
8.5760E-07,4.1900E-26,0.0000E+00
8.5780E-07,4.2500E-26,0.0000E+00
8.5800E-07,4.2800E-26,0.0000E+00
8.5820E-07,4.3300E-26,0.0000E+00
8.5840E-07,4.3900E-26,0.0000E+00
8.5860E-07,4.4500E-26,0.0000E+00
8.5880E-07,4.5100E-26,0.0000E+00
8.5900E-07,4.5700E-26,0.0000E+00
8.5920E-07,4.6200E-26,0.0000E+00
8.5940E-07,4.6800E-26,0.0000E+00
8.5960E-07,4.7400E-26,1.0000E-28
8.5980E-07,4.8300E-26,1.0000E-28
8.6000E-07,4.8900E-26,1.0000E-28
8.6020E-07,5.0300E-26,1.0000E-28
8.6040E-07,5.0600E-26,1.0000E-28
8.6060E-07,5.1200E-26,1.0000E-28
8.6080E-07,5.1900E-26,1.0000E-28
8.6100E-07,5.1900E-26,1.0000E-28
8.6120E-07,5.3000E-26,1.0000E-28
8.6140E-07,5.3400E-26,1.0000E-28
8.6160E-07,5.3900E-26,1.0000E-28
8.6180E-07,5.5000E-26,1.0000E-28
8.6200E-07,5.6100E-26,1.0000E-28
8.6220E-07,5.6300E-26,1.0000E-28
8.6240E-07,5.7100E-26,1.0000E-28
8.6260E-07,5.7900E-26,1.0000E-28
8.6280E-07,5.8800E-26,1.0000E-28
8.6300E-07,5.9700E-26,1.0000E-28
8.6320E-07,6.0700E-26,1.0000E-28
8.6340E-07,6.1400E-26,1.0000E-28
8.6360E-07,6.2200E-26,1.0000E-28
8.6380E-07,6.3000E-26,1.0000E-28
8.6400E-07,6.4400E-26,1.0000E-28
8.6420E-07,6.4700E-26,1.0000E-28
8.6440E-07,6.5600E-26,1.0000E-28
8.6460E-07,6.7100E-26,1.0000E-28
8.6480E-07,6.7800E-26,1.0000E-28
8.6500E-07,6.9100E-26,1.0000E-28
8.6520E-07,6.9700E-26,1.0000E-28
8.6540E-07,7.0200E-26,1.0000E-28
8.6560E-07,7.1000E-26,1.0000E-28
8.6580E-07,7.2800E-26,1.0000E-28
8.6600E-07,7.3100E-26,1.0000E-28
8.6620E-07,7.4200E-26,1.0000E-28
8.6640E-07,7.5400E-26,1.0000E-28
8.6660E-07,7.7300E-26,1.0000E-28
8.6680E-07,7.7000E-26,1.0000E-28
8.6700E-07,7.8500E-26,1.0000E-28
8.6720E-07,7.8600E-26,1.0000E-28
8.6740E-07,8.0100E-26,1.0000E-28
8.6760E-07,8.2100E-26,1.0000E-28
8.6780E-07,8.2600E-26,2.0000E-28
8.6800E-07,8.3600E-26,2.0000E-28
8.6820E-07,8.4700E-26,2.0000E-28
8.6840E-07,8.6500E-26,2.0000E-28
8.6860E-07,8.7800E-26,2.0000E-28
8.6880E-07,8.8600E-26,2.0000E-28
8.6900E-07,9.0600E-26,2.0000E-28
8.6920E-07,9.1500E-26,2.0000E-28
8.6940E-07,9.2200E-26,2.0000E-28
8.6960E-07,9.4500E-26,2.0000E-28
8.6980E-07,9.5600E-26,2.0000E-28
8.7000E-07,9.6000E-26,2.0000E-28
8.7020E-07,9.7400E-26,2.0000E-28
8.7040E-07,9.8600E-26,2.0000E-28
8.7060E-07,9.9100E-26,2.0000E-28
8.7080E-07,1.0160E-25,2.0000E-28
8.7100E-07,1.0210E-25,2.0000E-28
8.7120E-07,1.0430E-25,2.0000E-28
8.7140E-07,1.0470E-25,2.0000E-28
8.7160E-07,1.0700E-25,2.0000E-28
8.7180E-07,1.0790E-25,3.0000E-28
8.7200E-07,1.0870E-25,3.0000E-28
8.7220E-07,1.1050E-25,3.0000E-28
8.7240E-07,1.1230E-25,3.0000E-28
8.7260E-07,1.1370E-25,3.0000E-28
8.7280E-07,1.1510E-25,3.0000E-28
8.7300E-07,1.1640E-25,3.0000E-28
8.7320E-07,1.1880E-25,3.0000E-28
8.7340E-07,1.2010E-25,3.0000E-28
8.7360E-07,1.2060E-25,3.0000E-28
8.7380E-07,1.2260E-25,3.0000E-28
8.7400E-07,1.2410E-25,3.0000E-28
8.7420E-07,1.2530E-25,3.0000E-28
8.7440E-07,1.2690E-25,4.0000E-28
8.7460E-07,1.2900E-25,4.0000E-28
8.7480E-07,1.3000E-25,4.0000E-28
8.7500E-07,1.3170E-25,4.0000E-28
8.7520E-07,1.3330E-25,4.0000E-28
8.7540E-07,1.3480E-25,4.0000E-28
8.7560E-07,1.3710E-25,4.0000E-28
8.7580E-07,1.3910E-25,4.0000E-28
8.7600E-07,1.4060E-25,4.0000E-28
8.7620E-07,1.4260E-25,4.0000E-28
8.7640E-07,1.4370E-25,5.0000E-28
8.7660E-07,1.4520E-25,5.0000E-28
8.7680E-07,1.4710E-25,5.0000E-28
8.7700E-07,1.4890E-25,5.0000E-28
8.7720E-07,1.5240E-25,5.0000E-28
8.7740E-07,1.5310E-25,5.0000E-28
8.7760E-07,1.5490E-25,5.0000E-28
8.7780E-07,1.5670E-25,5.0000E-28
8.7800E-07,1.5940E-25,6.0000E-28
8.7820E-07,1.6090E-25,6.0000E-28
8.7840E-07,1.6290E-25,6.0000E-28
8.7860E-07,1.6450E-25,6.0000E-28
8.7880E-07,1.6650E-25,6.0000E-28
8.7900E-07,1.6900E-25,6.0000E-28
8.7920E-07,1.6890E-25,6.0000E-28
8.7940E-07,1.7180E-25,7.0000E-28
8.7960E-07,1.7300E-25,7.0000E-28
8.7980E-07,1.7540E-25,7.0000E-28
8.8000E-07,1.7730E-25,7.0000E-28
8.8020E-07,1.7840E-25,7.0000E-28
8.8040E-07,1.8080E-25,7.0000E-28
8.8060E-07,1.8180E-25,8.0000E-28
8.8080E-07,1.8380E-25,8.0000E-28
8.8100E-07,1.8620E-25,8.0000E-28
8.8120E-07,1.8820E-25,8.0000E-28
8.8140E-07,1.9000E-25,8.0000E-28
8.8160E-07,1.9180E-25,8.0000E-28
8.8180E-07,1.9360E-25,9.0000E-28
8.8200E-07,1.9490E-25,9.0000E-28
8.8220E-07,1.9790E-25,9.0000E-28
8.8240E-07,2.0060E-25,9.0000E-28
8.8260E-07,2.0220E-25,1.0000E-27
8.8280E-07,2.0380E-25,1.0000E-27
8.8300E-07,2.0500E-25,1.0000E-27
8.8320E-07,2.0680E-25,1.0000E-27
8.8340E-07,2.0950E-25,1.0000E-27
8.8360E-07,2.1180E-25,1.1000E-27
8.8380E-07,2.1310E-25,1.1000E-27
8.8400E-07,2.1520E-25,1.1000E-27
8.8420E-07,2.1730E-25,1.1000E-27
8.8440E-07,2.1920E-25,1.2000E-27
8.8460E-07,2.2160E-25,1.2000E-27
8.8480E-07,2.2370E-25,1.2000E-27
8.8500E-07,2.2620E-25,1.2000E-27
8.8520E-07,2.2790E-25,1.3000E-27
8.8540E-07,2.3140E-25,1.3000E-27
8.8560E-07,2.3400E-25,1.3000E-27
8.8580E-07,2.3490E-25,1.4000E-27
8.8600E-07,2.3820E-25,1.4000E-27
8.8620E-07,2.3820E-25,1.4000E-27
8.8640E-07,2.4160E-25,1.4000E-27
8.8660E-07,2.4390E-25,1.5000E-27
8.8680E-07,2.4910E-25,1.5000E-27
8.8700E-07,2.5260E-25,1.6000E-27
8.8720E-07,2.5610E-25,1.6000E-27
8.8740E-07,2.5610E-25,1.6000E-27
8.8760E-07,2.6100E-25,1.7000E-27
8.8780E-07,2.6280E-25,1.7000E-27
8.8800E-07,2.6280E-25,1.7000E-27
8.8820E-07,2.6800E-25,1.8000E-27
8.8840E-07,2.6630E-25,1.8000E-27
8.8860E-07,2.7150E-25,1.9000E-27
8.8880E-07,2.7330E-25,1.9000E-27
8.8900E-07,2.7680E-25,1.9000E-27
